ENTREZ_GENE_ID,Name,Species,,,
100859551,sperm-associated antigen 4 protein-like(LOC100859551),Gallus gallus,,,
107053019,uncharacterized LOC107053019(LOC107053019),Gallus gallus,,,
101748887,putative scavenger receptor cysteine-rich domain-containing protein LOC619207-like(LOC101748887),Gallus gallus,,,
107051173,arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1-like(LOC107051173),Gallus gallus,,
107055013,uncharacterized LOC107055013(LOC107055013),Gallus gallus,,,
771674,prokineticin 2(PROK2),Gallus gallus,,,
107050822,solute carrier family 22 member 6-A-like(LOC107050822),Gallus gallus,,,
429967,calcium binding protein 2(CABP2),Gallus gallus,,,
378789,solute carrier family 15 (oligopeptide transporter), member 1(SLC15A1),Gallus gallus,,
107054236,anoctamin-2-like(LOC107054236),Gallus gallus,,,
417573,KIAA0100(KIAA0100),Gallus gallus,,,
101750758,uncharacterized LOC101750758(LOC101750758),Gallus gallus,,,
424509,HFM1, ATP-dependent DNA helicase homolog (S. cerevisiae)(HFM1),Gallus gallus,,
107053811,uncharacterized LOC107053811(LOC107053811),Gallus gallus,,,
107053013,uncharacterized LOC107053013(LOC107053013),Gallus gallus,,,
100857353,tetratricopeptide repeat domain 34(TTC34),Gallus gallus,,,
100858359,BBSome interacting protein 1(BBIP1),Gallus gallus,,,
107051184,uncharacterized LOC107051184(LOC107051184),Gallus gallus,,,
107056394,uncharacterized LOC107056394(LOC107056394),Gallus gallus,,,
107055429,E3 ubiquitin-protein ligase NEDD4-like(LOC107055429),Gallus gallus,,,
107057379,uncharacterized LOC107057379(LOC107057379),Gallus gallus,,,
107053523,uncharacterized LOC107053523(LOC107053523),Gallus gallus,,,
395491,twist homolog 1 (Drosophila)(TWIST1),Gallus gallus,,,
101752179,forkhead box A1(FOXA1),Gallus gallus,,,
414884,cholecystokinin(CCK),Gallus gallus,,,
422810,superoxide dismutase 3, extracellular(SOD3),Gallus gallus,,
100858066,leucine-rich alpha-2-glycoprotein 1(LRG1),Gallus gallus,,,
396433,troponin T type 2 (cardiac)(TNNT2),Gallus gallus,,,
395713,transcription factor AP-2 beta (activating enhancer binding protein 2 beta)(TFAP2B),Gallus gallus,,,
101752191,glioma tumor suppressor candidate region gene 1 protein-like(LOC101752191),Gallus gallus,,,
107053044,uncharacterized LOC107053044(LOC107053044),Gallus gallus,,,
396256,calcitonin(CALCA),Gallus gallus,,,
107051942,uncharacterized LOC107051942(LOC107051942),Gallus gallus,,,
378781,growth hormone(GH),Gallus gallus,,,
107050597,striatin-4-like(LOC107050597),Gallus gallus,,,
101748037,diacylglycerol kinase beta-like(LOC101748037),Gallus gallus,,,
107051699,uncharacterized LOC107051699(LOC107051699),Gallus gallus,,,
423167,tetratricopeptide repeat domain 17(TTC17),Gallus gallus,,,
417937,solute carrier family 23 member 1-like(LOC417937),Gallus gallus,,,
107057619,acid phosphatase 5, tartrate resistant(ACP5),Gallus gallus,,
395461,espin(ESPN),Gallus gallus,,,
771952,purinergic receptor P2X 7(P2RX7),Gallus gallus,,,
107050759,PIH1 domain-containing protein 1-like(LOC107050759),Gallus gallus,,,
427587,kelch repeat and BTB domain containing 12(KBTBD12),Gallus gallus,,,
107051991,myosin regulatory light chain 2, smooth muscle minor isoform(LOC107051991),Gallus gallus,,
107049321,transcription factor TFIIIB component B'' homolog(LOC107049321),Gallus gallus,,,
100858040,protocadherin gamma-A8-like(LOC100858040),Gallus gallus,,,
416852,4-hydroxyphenylpyruvate dioxygenase(HPD),Gallus gallus,,,
769360,transmembrane emp24 protein transport domain containing 7(TMED7),Gallus gallus,,,
416014,coatomer protein complex, subunit gamma 1(COPG1),Gallus gallus,,
107054273,iroquois homeobox 3(IRX3),Gallus gallus,,,
107057325,nuclear receptor coactivator 5-like(LOC107057325),Gallus gallus,,,
395912,matrix Gla protein(MGP),Gallus gallus,,,
396190,ubiquitin B(UBB),Gallus gallus,,,
107051488,uncharacterized LOC107051488(LOC107051488),Gallus gallus,,,
107055134,uncharacterized LOC107055134(LOC107055134),Gallus gallus,,,
107054282,uncharacterized LOC107054282(LOC107054282),Gallus gallus,,,
107050029,serine/arginine repetitive matrix protein 1-like(LOC107050029),Gallus gallus,,,
100858776,neural precursor cell expressed, developmentally down-regulated 8(NEDD8),Gallus gallus,,
419246,src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites(SRMS),Gallus gallus,,,
419219,synaptonemal complex protein 2(SYCP2),Gallus gallus,,,
417613,notchless homolog 1 (Drosophila)(NLE1),Gallus gallus,,,
378927,bombesin-like receptor 3(BRS3),Gallus gallus,,,
107055409,neuropeptide FF-amide peptide precursor(NPFF),Gallus gallus,,,
424048,dynein, axonemal, heavy chain 7(DNAH7),Gallus gallus,
425499,NCK-associated protein 1-like(NCKAP1L),Gallus gallus,,,
100858798,nicotinamide riboside kinase 2-like(LOC100858798),Gallus gallus,,,
107049285,mesoderm induction early response protein 3-like(LOC107049285),Gallus gallus,,,
107053478,acrosin-like(LOC107053478),Gallus gallus,,,
107053234,uncharacterized LOC107053234(LOC107053234),Gallus gallus,,,
415807,hydroxysteroid (17-beta) dehydrogenase 2(HSD17B2),Gallus gallus,,,
419930,primary cilia formation(PIFO),Gallus gallus,,,
107054332,poly [ADP-ribose] polymerase 11-like(LOC107054332),Gallus gallus,,,
770660,Ras-like without CAAX 2(RIT2),Gallus gallus,,,
107055874,potassium voltage-gated channel subfamily V member 1-like(LOC107055874),Gallus gallus,,,
107055393,thymocyte expressed, positive selection associated 1(TESPA1),Gallus gallus,,
770943,secretin receptor(SCTR),Gallus gallus,,,
424994,leucine rich repeat containing 31(LRRC31),Gallus gallus,,,
107053495,uncharacterized LOC107053495(LOC107053495),Gallus gallus,,,
430371,YKT6 v-SNARE homolog (S. cerevisiae)(YKT6),Gallus gallus,,,
378934,glycogen synthase 1 (muscle)(GYS1),Gallus gallus,,,
107049297,proline-rich receptor-like protein kinase PERK9(LOC107049297),Gallus gallus,,,
415454,histidine decarboxylase(HDC),Gallus gallus,,,
395942,paired box 7(PAX7),Gallus gallus,,,
101747554,epiplakin-like(LOC101747554),Gallus gallus,,,
